"ensembl_gene_id"	"hgnc_symbol"	"PED_48"	"PED_10"	"CTR_12"	"CTR_60"	"CTR_07"	"PED_16"	"PED_17"	"PED_61"	"CTR_20"	"PED_37"	"CTR_18"
"ENSG00000000003"	"TSPAN6"	50.3732908749956	52.5858990817658	37.1458863641622	33.6576684768401	31.1510379926175	41.0371284725693	37.340153531291	41.2261061624668	37.6589917496835	37.992734695689	27.6808178346747
"ENSG00000000419"	"DPM1"	27.7750853171334	25.397197752917	27.7085267561328	24.0641610606707	24.5008163986879	21.7896257376474	25.7945555314197	24.4981063030265	26.6949814934466	31.8988505167765	26.6588935807461
"ENSG00000000457"	"SCYL3"	26.559643982348	33.1955074363852	21.0145856388096	22.4563106557261	26.5308840431506	24.7312252122298	24.837115697284	29.1502719444093	23.2389347822414	28.4381261682583	24.7483395407926
"ENSG00000000460"	"C1orf112"	19.0419142449715	21.2872777846026	8.88867590988814	14.7386287119921	12.6004198621824	21.1722530084141	17.3465569949285	20.2913607762442	13.228316722199	21.2157449191768	13.1961523224693
"ENSG00000000938"	"FGR"	5.98717398246149	1.68612101264179	2.35933990200735	4.07322102585963	1.33004431878592	5.66530269178833	1.63327971705496	5.34504137520578	3.87315579704024	7.97471262919413	1.99941701855596
"ENSG00000000971"	"CFH"	79.8139809842423	26.2402582592379	13.4976189742746	87.0383019210006	48.301609471699	73.8668312506248	50.687991218947	51.7677155413449	69.0017601995784	67.7850573481501	40.3882237748303
"ENSG00000001036"	"FUCA2"	50.5083399121939	42.363790442625	73.0298002225995	61.3662904553852	55.301842728467	38.4223733840516	50.5753512384605	44.6904848315817	64.1156251940814	43.4847537705114	59.493764174365
"ENSG00000001084"	"GCLC"	113.216109517975	122.24377341653	155.167749834344	129.967907733021	145.674854073342	69.5089061030953	103.628782047625	111.948922136254	101.953377980551	91.1073301316424	205.895521421962
"ENSG00000001167"	"NFYA"	42.9455938290847	46.7898581008097	38.7919374585859	39.6603099886333	28.420947022478	41.2913407728419	40.8883129166173	38.2071476079524	38.0165138232565	37.3908695915989	34.0345208047525
"ENSG00000001460"	"STPG1"	12.0643806563886	11.0651691454617	17.667615080148	13.3451583610401	14.4904828415097	10.09585992511	14.8121574339812	10.9870294934785	10.1297920845668	13.0905660139602	11.3300297718171
"ENSG00000001461"	"NIPAL3"	53.9295821878862	55.6419934171791	74.0174308792537	64.8499663327652	65.1021692879422	54.7645926872872	56.4889502140043	57.0632657927062	61.7321447035951	50.8576012956154	70.1573216066635
"ENSG00000001497"	"LAS1L"	21.2026988401456	19.9173044618311	17.0091946423785	15.9177190089515	20.5106834423302	25.5664941988396	22.3027161363367	17.5693489647968	15.2542751391123	20.1624809870191	18.5723625279198
"ENSG00000001561"	"ENPP4"	43.8459207437405	48.2652139868712	82.6866333098854	56.381954200057	74.3424771868759	31.0865327190437	50.2374312970008	40.8796682955553	61.6129706790708	38.8955323518242	73.356388836353
"ENSG00000001617"	"SEMA3F"	9.36339991242098	7.16601430372761	30.3422085072107	21.1700303317705	19.1106367909766	8.71585029505897	13.1788777169262	11.4819407319235	28.0654827754762	8.12517890521666	19.9053072069571
"ENSG00000001626"	"CFTR"	258.934020655026	281.687591674469	447.835634422883	335.826354579427	339.861324616085	343.731346011388	368.501696161745	341.53824565088	293.525622403388	250.451116439502	369.270107582635
"ENSG00000001629"	"ANKIB1"	105.518314397667	99.4811397458656	117.47317977204	89.6644575824101	104.37347785841	94.6032917442859	94.3359836574847	103.881868949601	114.88375964144	101.715202591231	131.694934288886
"ENSG00000001630"	"CYP51A1"	1.03537595185424	0.105382563290112	8.39486058156102	8.09284703822111	4.69015628203454	2.50580695982945	4.89983915116488	3.06844967835887	8.93805183932362	3.61119062454074	1.51067063624228
"ENSG00000001631"	"KRIT1"	55.9103014001291	71.7655256005662	54.3196861159831	40.6786152450982	60.0620013430692	59.3767301350892	60.4313495310335	69.1391000107637	47.9675448710368	59.9608109949785	63.7591871472844
"ENSG00000002016"	"RAD52"	23.2284343981213	34.3547156325765	17.3384048612633	16.9896192789145	22.3307440890898	20.2643519360121	30.9196746435577	31.0804257743447	22.8814127086685	25.0526349577514	21.0605259287894
"ENSG00000002330"	"BAD"	2.02573555797569	1.68612101264179	6.69394111732317	4.23400606635409	5.67018893798206	3.84950054698438	3.66079936581284	3.21692304989237	12.0365764769558	4.13782259061959	2.88804680458083
"ENSG00000002549"	"LAP3"	351.66769286458	300.234922813529	198.842972206387	210.467618007247	132.304408552915	278.398784841342	255.185875792277	542.373226211853	117.267240131926	291.302710379619	194.076745267832
"ENSG00000002586"	"CD99"	82.1098146166147	111.073221707778	108.41989875271	93.4161085272808	93.1731046475817	83.2363703178132	114.38590018409	88.0447093193619	71.2660666655404	65.9042288978685	76.9553394697537
"ENSG00000002587"	"HS3ST1"	5.44697783366797	3.89915484173414	10.8639372231966	9.37912736217678	4.34014461919614	11.3306053835767	6.53311886821984	6.78028396669622	5.72035317716712	7.14714811107021	4.44314893012435
"ENSG00000002726"	"AOC1"	121.589149824274	106.014858669853	655.951361127856	307.635377479399	299.819990387372	108.693916387965	187.99612743205	205.784092945423	478.960404563222	177.625438844598	328.037685511081
"ENSG00000002745"	"WNT16"	1.39550671771659	2.31841639238246	2.63368175107797	2.09020552642797	3.36011196324863	1.48895775873924	2.36543959021753	3.76132541218185	0.655457134883732	1.65512903624784	2.66588935807461
